id,genres,app_name,release_date
683570,Adventure,Cludbugz's Twisted Magic,2017-08-04
585900,Adventure,Harvest Moon: Light of Hope,2017-11-14
297270,Strategy,Exodus Wars: Fractured Empire,2015-01-30
321182,Design &amp; Illustration,RPG Maker VX Ace - Dungeon Music Pack,2014-09-16
614910,Casual,#monstercakes,2017-05-05
336770,Casual,Pilot Brothers 2,2014-12-31
415570,Indie,Fantasy Grounds - D&D Sword Coast Adventurer's Guide,2015-11-03
489730,Indie,Run The Gamut,2016-06-17
417860,Casual,Emily is Away,2015-11-20
594270,Adventure,A Step Into Darkness - Original Soundtrack,2017-03-20
669630,Adventure,Hollowed,2017-11-02
226780,Racing,MUD Motocross World Championship,2013-02-26
448720,Action,Puzzle Box,2016-04-22
524330,Free to Play,Battlerite - Ultimate Fan Pack,2016-09-20
614350,Indie,Fantasy Grounds - Mini-Dungeon #026: Sanctuary of Exsanguination (5E),2017-09-20
301180,Indie,Euro Truck Simulator 2 - Flip Paint Designs,2014-05-29
317480,Racing,SpeedRunners - Youtuber Pack 1,2014-10-20
687140,Indie,The Darkside Detective - Soundtrack,2017-07-27
206158,Simulation,Rocksmith - Creedence Clearwater Revival - Born on the Bayou,2012-10-16
637729,Simulation,Rocksmith® 2014 Edition – Remastered – 3 Doors Down Song Pack II,2017-09-05
37240,Simulation,Diner Dash:® Hometown Hero™,2009-08-12
314770,Simulation,Pe-2: Dive Bomber,2007-11-07
444870,Action,Combat Racers,2016-04-16
305180,Adventure,Sniper Elite 3 - Target Hitler: Hunt the Grey Wolf,2014-06-27
292230,Design &amp; Illustration,Game Character Hub,2014-05-23
474730,Adventure,Airship Asunder,2016-07-21
272300,Utilities,CardFile3D,2014-10-01
555890,Adventure,Burgers 2,2017-01-08
409660,Action,Angry Video Game Nerd II: ASSimilation,2016-03-29
465520,Adventure,PRICE,2016-09-15
535160,Early Access,"Fire in the Goal ""轰个球""",2016-10-26
739800,Indie,Verzaken!,2017-11-06
205020,Indie,Lumino City,2014-12-02
596470,Indie,Cartesian,2017-02-17
394990,Action,Habitus,2016-01-29
237930,Action,Transistor,2014-05-20
438020,Strategy,AI: Rampage,2016-01-25
389510,Simulation,Wild Animal Racing,2016-03-07
315850,Action,Amazing Princess Sarah,2014-08-18
204734,Strategy,Krater - Character DLC Mayhem MK13,2012-10-23
713690,Simulation,"Cook, Serve, Delicious! 2!! Original Soundtrack",2017-09-26
704930,Massively Multiplayer,Puzzle Pirates - Shadow Fleet pack,2017-09-14
